review,rating
"Waste of  time. I am waiting from 1 month for my book. And you people cancelled without any information. Waste, and I don't want to shop once again.",1
"Very bad pages, print, its not original book, it is generic.....very bad, no feel while reading..... Flipkart please recognize the real publications....",1
Worst quality pages used in printing i won't recommend this to any one this is really Waste of 💵Money. # paper quality is worst. # Printing quality is worst. Delevered by Filpkart before given tym,1
Pages are of very bad quality,1
Please guys never ever buy any book from the seller named ' City Book Centre '. They are rogues. I'll stop purchasing products from flipkart if it goes on like this. Shame!,1
Received little defective...but it's ok...,1
Paper quality not good binding the book is not good,1
Worst quality product received...when i received i thought it would be  white paper but  was corrugated paper..dont purchase it,1
Bad printing. Not able to read properly.,1
Not able to read the words..its too small.. Kindly check the print quality,1
Book is in very bad condition and paper quality is worse . I didn't expect that kind a service from Flipkart,1
chief quality materials used....,1
Looks very old book.but i compromise because of book content..this is amazing book.,1
poor book,1
"Book quality is bad. Pictures inside are all black and dark as of you have taken a low cost xerox. Pages are torn, binding is loose and you can make out the book is duplicate. Feel cheated. The only reason for late review is as I am reading through, things are getting revealed. You get better condition book roadside. Feeling totally cheated.",1
"really bad, worst quality... actually it's a pirated copy.. with many dirt in it... really very disappointed from flipkart...",1
"Not satisfied with the product. Even after replacement the book was in damaged condition, the text was misprinted and also the pages were too misplaced.",1
I orederd this book twice and the rrplacement that came was again the same book. If its not available just display it. This was a bad experience.,1
bad paper quality and binding,1
baler book cheap motivation,1
Poor quality,1
Binding is poor,1
"For years I've bought many books from Flipkart, this is the worst quality I've seen. It looks old & used. The seller is SuccessPoint.",1
Quality wasn't goof,1
Pages 41-72 missing. Cant say much else,1
Cover was damaged and some pages were torn,1
Pages are yellow in colour seems like an used one thinking to return it back.,1
Awesome book👍,1
Quality of printing is not so good,1
Worst quality of paper and printing.. please don't buy it from here..,1
Quality of pages was very poor.,1
Bad quality,1
The quality of paper is worst......... Plz dont buy this.....,1
This only one good item I purchased in flipkart,1
Quality of the book is way to bad.,1
Worst quality book. Sone of the pages have balck prints on them. Poor quality of paper,1
"Third class product!!! I'll never ever buy book from Flipkart, says offer (low price) and gives worst product, delivery took 7days and product is so worst",1
"Ordered the book on 23 Jun, and what I received on 27 Jun is ""Greatest Sex Tips In The World""I was very satisfied with Flipkart, but this time i'm disappointed.",1
"I've ordered on Oct. 11, 2016 and after 6 days this book reach near to my home when i seen in Track Order. After that day, order automatically get cancelled. I contacted Customer Care and they not able to provide valid reason.I've ordered many times from Flipkart but with recent time many orders get cancelled. It waste my much time. I wanted to gift this book to one of my friend but i didn't.",1
"We should tribute to Dennis M. Ritchie not Steave Jobs.Without Steave there is no iphone,ipad,mac,and Apple Computers.But is that a big deal?BUT THINKwithout Dennis there is no C.If there is No C,then there is no C++ that means no Unix,Windows,Linux,no Crysis and other cool games,no Photoshop,no Firefox,no VLC,no Playstation,no XBOX n list continues.90% of the application in the world are written in C n C++ n last without Dennis there is no Apple to.",1
Received a fake copy of the book. Will file a return.,1
I hadn't received this book.,1
"Flipkart is doing a day light fraud to customers.The book I received is a duplicate copy.No hologram, the quality is worst, paper quality ewww...This gonna be my last experience with flipkart. Bye flipkart...adieu",1
Very disappointed  to know that I got pirated version. I requested for refund but sadly flippant did not make it happen.,1
"I got a fake copy of the book , and as it was a gift I didnt open the parcel earlier and it was too late wen i realized the fraud .",1
Product quality is very poor. Page quality is very poor. It seems like not the original product. Moreover flipkart delivery is poor.,1
This is a low quality fake version of the Original. So disappointed with the Purchase..never buying from Flipkart again,1
"Seems like a counterfeit product. Cover is dirty and looks second hand. Very Very bad quality, dont even think of buying from this seller. Doesn't look new at all.Flipkart - pls remove this seller from your list.",1
"what's there to say... you're the fool if you intend to buy it. Believe me there'll be some people going ga-ga over this shit, but that's all it is... SHIT in capitals",1
i Have the worst experience of shopping with flip kart. In future i don't wanna think of buying from you guy this book i received was in not in good condition the pages are not in order i.e 15 number pages is before than 12 number and some pages are faded also.And when i asked for return they are saying it will take 8 days to pick up and then 6 days to get back the new product.I don't want new product from you i want my money back take the book from me.and.,1
The paper quality of book is extremely pathetic. This is as good as buying from street. You will get same paper quality in less Ruppes than spending 350.,1
The book is not orginal. The plastic in the front page is coming out. The pages are yellow. The page no.s that should be in italics are not in italics. The pictures before every chapter is not visible. The indentation is horrible. Some letters are invisible. You're gonna regret buying the book !,1
"the quality of this book was really poor , looks like a duplicate product ,many pages have poor quality invisible prints ...really disappointed with the quality ...was not worth 350",1
"This seller is a fraud, and this is not a paper back edition. MRP marked on book is Rs 550 for which I was charged Rs 597(post discount). Please do business ethically if possible I'll take this to consumer court cause selling product over MRP is illegal in India.I'll also urge Flipkart to take action against such sellers.",1
"Totally unsatisfied with the delivery item. The book that was delivered has several pages missing. A return delivery message was asked couple of days after the delivery. The only message we get is ""We're sorry. We are unable to process your replacement request"". Flipkart being an Indian service provider we have very high expectations from you all. Especially when we have better service providers we can switch too.",1
This book is for the people who are passionate or curious about steve jobs or anything related to him. Personally this book is costly and out of the way for the first timers who are switching to biographies or reading it for a change like myself. You can mosstly see all the events in jobs life in a 40 minute documentry instead of 650 Inr book.But again its all about passion if you interested in jobs or his products or inspired by him Buy it.,2
The price mentioned on the backside of the book is Rs 550. I was charged Rs 689 for buying this book.Book it self great though.,2
Besuse i give 2 star the book is damege,2
Paper quality,2
Product quality is Below average.,2
"The book is great to know about jobs, but the paper quality and print of this publisher is really bad, I would recommend you to go for a better publisher, those extra money u put is really going to pay off.",2
Book is worth.. but page quality is very bad ... buy with some other merchants,2
Font. Quality is not good. As it is paperback but it should have font in proper way.,2
"It's pirated book, poor printing,",2
Font are too small,2
What a ridiculous book quality! Pathetic. It isn't even worth a hundred but I paid 350 for it. I'm glad there's a return policy lurking in there. Sometimes I feel like getting my head into a bookstore and returning with an authentic book instead of trusting flipkart.,2
Paper quality is not good.,2
I got the book in bad condition it was dirty which included dirt marks and many wrinkles on the cover as if it was folded badly,2
Plz check the seller before you buy it.... Otherwise they fooled you by giving poor inhouse printing book,2
good,2
paper quality is not good.,2
book quality not good. more like a photocopy print out,2
The paper quality used is very bad. But a great book to read...,2
Received this book print and paper quality is poor better buy a original hardback,2
On in time,2
The content of the book is excellent but the publisher has done an equally terrible job of printing and binding. Cover had disgusting yellow marks on it and paper quality is of the worst possible order. Charge ₹100 extra and give better quality.,2
pls. don't buy this.print quality and binding is very bad.pages are coming off while you go through the book..,2
"The matter is good and very inspirational, though the book quality is very bad. When I   Took it out of the parcel, its quality was bad as second hand books .",2
Everything is gud but the quality of pages is cheap!,2
Poor paper quality,2
"Though it looks new, quality of the printing isn't so good. Little over priced in terms of quality",2
The book I received had a different front cover and the quality and print of the book is not good. The pictures in the book look like xerox copies of b&w photos. I am not buying any book from this seller again. The content within book is sure super awesome!,2
The quality of the book is not good. And there was no bookmark along with it !,2
Quality of the pages and the font is bad.,2
I bought a paperback edition of the book and the condition is pretty beat up. The book is crumbled from all sides. I don't want to return again because the whole process would take a week. But the seller is not good.,2
"I am a huge fan of ""steve jobs"".Firstly when i read the reviews I thought it was excellent but it didn't reach the expectations........",2
"This is a must read book for technology and business enthusiasts. Very simple language, Good photographs and smooth story telling are main attractions. But its build quality is very poor. Pages are falling out due to low quality binding.Flipkart service is good.",2
Page quality very bad...so I return that book,2
"Pages are torn, the cover of the book has no finishing. The plastic over the covering is coming out. The printing inside is not straight. Some of the letters are missing sometimes. The puctures at the beginning of every chapter is sometimes so bad that it's hard to understand what is there in the picture.Highly Unsatisfactory ! !",2
"The book seems to have been in storage for a very long time, as is evident from the various spots on the cover and the indentation marks of thread (or rope) used to tie bundles of books together. Also, the paper quality is very low (thinner than that of newspapers) suggesting that it may be an illegal reprint edition. Nevertheless, the content is amazing as it talks about the life of one of the greatest minds in the field of technology.",3
"VERY GOOD BOOK.LIFE OF A CONTEMPORARY VISIONARY WHO MADE BEST PRODUCTS FOR PEOPLE.HE TRIED TO ADD BEST MATERIALS IN MOBILES.FIXED BEST PRICE FOR THE PRODUCTS.MASS PRODUCED, MARKETED AND SOLD TO MASSES IN MASS. BENEFITS TO HIM,HIS COMPANY,HIS COUNTRY AND WORLD.HE EVEN PRODUCED ANIMATED FILMS AND HAS SHARES IN WALT DISNEY.HIS WORKS SAVED WALT DISNEY AND APPLE.HE IS NO MORE.HIS FAMILY IS ONE AMONG TOP 100 RICHEST FAMILY.INTERESTING? REED IT .",3
"small text size, hard to read for such a lengthy book.",3
The product quality is very bad but for 340 it's ok. The book is in damaged condition so I am giving 3 stars.,3
Paper quality is not good. Printing quality also not good. I brought for 200.,3
This is not the original I ordered. But not so bad although not so good.,3
"Pirated,what can we expect in this price",3
Ty,3
"The quality of book cover was not good. I guess i was provided a book which was previously returned by someone. There were pen marks on the cover and it was dirty too. Along with that, after ordering 3 books, not even a single bookmark",3
Book is awesome in every aspect but the page quality is totally blunder,3
Great Page quality could be improved,3
"The print quality is very bad. In some pages, some letters towards the right sides are not printed and some pages have wrong alignment. None of the pictures are visible.",3
"An excellent book to read. But the quality of the book material was pathetic. For sure it's not the original publication. Seems to be a cheap remake of the original book as the print was quite off and unreadable at a few places. Even the cover page print was quite off. If that doesn't matter to you, definitely a must buy.",3
Content is awesome.. Btt page quality is poor...,3
Print was not that good and satisfactory...but it was okay...,3
Printing was not good,3
nice one but my books one page is about to torn and on one page there is misprinting,3
Being Steve is tough,3
Paper quality was not good,3
The book is good but it come to me in 15 days.. it delayed and delayed.... Bad delivery,3
Good book and easy written but pages quality is too poor happy with flipkart timely dilevery,3
This was the first time I tried a store called shivani books. Should have known better. The book doesn't even have the right photograph of Steve Jobs 🙄 I don't even want to talk about the binding and page quality. I mean how can a seller be this corrupt. Wish they had negative stars to award.Edit- Later I ordered from NSPRetail. They always have been the cheapest and quickest in terms of delivery.,3
Cover is good. Print quality is just pathetic..,3
Quality of the book is not so good..,3
Good,3
Page quality is to bad...,3
Good,3
My Steve jobs is written in blue color,3
This book will be interesting only for computer engineers,3
"Book is read by someone, it's marked by lead pencil  in some pages. Its not unacceptable, but I expected new book.",3
"content of book is very inspiring, but the quality of pages are not good. And words are also very small in size, so its need bright light to read these words.",3
"pages were not good , but story is amazing",3
Page quality not as expected,3
Page quality was not very good,3
Okay but not original.,3
The book is of poor quality. But taking the price of the original edition into consideration it provides good value for money.,3
good book but its not had a hardcover and liitle damage but goood to read,3
I loved this book a lot,3
Some page's are not in good condition but overall a great book.,3
received in a very poor conditionhad to returnI find it's a common complaint about the productplease choose some other edition of this great book,3
Way too much  stretched.I understand that what 'Making dent' is but this is not a book or something I would recommend/suggest someone.,3
Awsum book but Paper quality was very bad !,3
The book was good but poor dilevry,3
Product quality very poor. Not an origanl book it's a 1st copy. But material is readable. Not bad. But not recommended also instead try the original book.,3
It's good and useful product,3
Nice well conditioned,3
The binding is very bad. The paper quality is also miserable. Although the book is great due to Walter Isaacson.,3
"Good page quality, very bad binding, other credits to Isaacson .",3
The Condition of the book is really poor but the content is great.,3
"3 Stars not for the content in the book, it deserves 5 but the quality and condition in which it was delivered to me.",3
A wonderful and a must read book for every entrepreneur and engineer or a visionary.The product that was sent was old and worn out.,3
Good book but papers are falling apart,3
"I m surprised even after so many people complaining about its pages Flipkart has not done a thing 2 improve it. Basically writing a review is worthless, a waste of time coz they won't do anything. Stars r only 4 Steve Jobs.",3
Paper quality is bad,3
"Book is splendid. Captures every aspect of Steve's life in a beautiful and honest way. I would have gone for 5 stars but given the quality of paper I had to reconsider.Quite bad quality paper used,almost looks as if a pirated version.",3
The book is a fantastic read. The Print on some pages are not clear or missing. Can be better.,3
"Book is a good read..paper quality is of reused papers, many missing words i.e. not printed properly or half printed! !",3
"The book is no doubt a masterpiece but in order to get the book quickly, flipkart has compromised with the packaging. When I receieved the book, all the corners of the hard cover were bent. I hope you do a better job going forward witht that.",3
"As this book is about Steve Jobs journey so, its gud 4 those who want to know more about apple way towards top companies in the word",3
"Its mentioned as hard cover, I felt its gonna be a hard cover with the cover photo embedded. But its just cover page wrapped around a hard plain white color cover. The photo on cover (which is just a paper) is completely detached and will sure loose it from the book cover.",3
"Received the delivery ahead of time. So thumbs up to Flipkart for that.Everyone knows about the book. Its the best SJ biography, so no comments on book content.The paper and print quality is not as expected. Its a LPE (Low price Edition) I guess.",3
A wonderful person and visionary who brought amazing new technologies to the world. Will be exiting to know how SIRI changes the way we communicate now. I believe SIRI is going to be big threat to google going ahead.,3
Delivery took time.,3
"Good book. No, great book. All about Steve Jobs that you wanted to know, from personal to professional. It will inspire you right away. But I bought it for Rs. 559 from flipkart and now its price is Rs. 602? Why?",4
"Absolutely worth every single penny! Life story of a doer, a dreamer, a visionary, a genius. Kudos to Isaacson for keeping it so neutral and so interesting! I had already seen the documentary Pirates of the Silicon Valley, so already knew some stuff about Job's life. But thank God to this Book. So much better than the tacky movie I just mentioned! MUST READ.",4
The look of the book is so classy yet simple just like the apple products. I wont be surprised if someone told me that Jobs had designed it himself. excellent insight into the great mans life and yea was very surprised to read abt his tantrums,4
"Got my book on 25th Thanks to Flipkart's awesome delivery logisitics.Well, the Cover itself is so absorbing, m sure Steve is happy and totally content with the cover as he had desired for.i'm half way through n to be honest, it is the first of my Non-Management books that i even carry to work. It is that invitingGo buy ur copies at the earliest...Flipkart will make sure u have them delivered at the soonest. You cant have anything better if u r a die-hard Steve Jobs' fanCheers",4
Amazing read. We'll written and detailed life about Steve Jobs. Great inspiration can be derived from the book and the way it is being narrated.,4
Its a good book of a best enterpenure of era. Mr. Jobs is inspiration of our society. I ordered and got In note ban time.,4
amazing insight into the birth and growth of the world's most well known brand. what captures the readers would be Steve's grit determination and never say die attitude. His leadership skills and ways and means of eliminating/manipulating his rivals is noteworthy and finally why apple makes only beautiful products. Great read!!! !,4
"A well written book and an interesting read.. Steve Jobs doesn’t inspire me to be him – not with his arrogance, management style, etc., etc..But then He was a genius and I am not!! ;) Am not an Apple Product user and so not an Apple Fan.. so I was not biased towards him or Apple before I “just like that” decided to read this book. But while reading the book, not once I felt he dominated the writing (as is his usual style).",4
I was never really an admirer of this man. This biography has been well crafted by W.  Issacson and to me its nothing more than a serious attempt of a creative genius.,4
the book is great well written. but its huge in size and the binding tears with time. i prefer buying hardcover if you are book collector or you want to preserve the book.,4
Very good book which gives insight of a man's life who is so different from conventional ones. The book is very easy to read and engaging,4
I got this gem for just 360 Rs. as you were running  a promotional offer. Will read the book and post a review here. Got it within a day of ordering and in excellent condition.I wanted to read the book since Steve died but always found the price was really high.So i was glad to get it for so cheap.,4
"Another book purchased by the pre order option. And is perhaps the most satisfying. Must congratulate Flipkart for packing the book in such a way that it retains the pristine, pure cover. Walter Isaacson has has belted out a winner of a biography under any kind of literary spectrum. The manner in which he dwells on the aspects of Jobs life that appear dear to him, would be his greatest accomplishment for the book.",4
This was the first book i purchased on Flipkart. Not only that this was my first book purchase online ever!,4
"This is a great piece of work by Walter Isaacson. The book is a great memoir about Steve Jobs which tells about his personal life his traits and other important facets of his personality. These facets include being a marketeer, great leader, great friend etc. It is a great read not only for an Apple fan but for everyone who is intrigued by Steve Jobs.",4
"Haven't yet got to complete the whole book, but as far as i have read, its good.Must read for all entrepreneurs.the language is easy to read.though i wish the book could have been a little thinner for easy travel and reading :)",4
"I bought the book with high expectation, as one of mycolleague highly recommended it. And it did live up to theexpectation, very well written, and for anyone who has seenand liked the ""stage performances"" of Steve, you'll know how he got there, and all about Apple.",4
"I see the book as a great work of the writer as it is of Steve Jobs. The book gives insight of this very successful person , his business and personal life. While the business like is inspiring and eventful and shows facets of Steves Personality, it gives the reader both what not to do and what to do to make the best come out of you. The writer has brought out the best one could have , merging view points, sequentially referencing the interviews, relevant persons and events.",4
"I'm not neither an avid autobiography reader nor a Steve Jobs fanatic but this one book reads like a dream. Its super well-written, interestingly crafted chapters and terribly honest stories make it a must-read for anyone interested in businesses, consumer technology, the world of brands or human psychology. Gives amazing insight into the man that he was and his vision for the brand.",4
"A detailed account about the visionary, giving vivid details of his genius n idiosyncrasies alike. Now I kno y ppl love n get addicted to all that is made by Apple :-) (me included). I m a apple fan ! !Simple and clear ........ no bias to good or bad ... just his life as it is ... he is really crazy .... but you see ingenuity and insanity are apart but a thin line :-) V.Good Read",4
"Liked the way Issacson has   put together this biography. Simple and straight forward narrative style was appealing. Felt like having a close encounter with the multifaceted    personality of Steve and his personal peculiarities. Thoroughly enjoyed the book. Would like  to re-read once in a while. This    has become  a lovable collection to my book shelf. After reading this book,  Issacsons other biographies have been added to my “to be read” list",4
A good read that captures the important and many unknown events of this 'crazy' person the world calls Steve Jobs. The book begins sluggishly and kind of plods on initially describing Jobs earlier days. However the narration picks up when Apple I is introduced and does help one know the important events of his life all through next.,4
From the beginning till the ending the book shows jobs life through different angles.It shows what led to his success and also to his failure to achieve somethings.Issacson presentation is quite good and seems original.People who are interested in gadgets and technology will like the book further.,4
"The biography is beautifully narrated giving details of the ups and DOWNS of the man who set out to change the world of artistic computing.. and more importantly succeeded in doing so.. It gives a detailed account of what translated into making Apple, what it is today and the life of a visionary who created and nurtured the art of perfectionism... ! !Hats off, Mr. Jobs.. We love you and you'll always be missed..",4
"Just finished reading this biography, though it took few days reading the book, it was worth. U will come to know Steve Jobs closely after reading this masterpiece by Walter Isaacson. Author was never judgmental throughout the book. You will come to know what a creative genius task master Steve was, though far from being a good human being...........",4
"The book has described various instances of the Steve's passion for perfection and simplicity ....also the ""reality distortion field""........mood swing........'un-loyaly'......innovative skill....getting the best of the 'A' class people....realizing the potential of product yet to come to existence....... and finally developing unique awesome and historic products ....",4
"A outstanding work by Walter: Simple but effective language. Research is done extensively in field of Steve professional life and his interests in the life, his character and likes dislikes. It left an very deep impression on my mind and with Walter's eyes which are honest I could see the Job life and his passions. I learned from Steve that focus and Quality always will win later or early.",4
"A genius who lived life by his terms. He wasn't the perfect businessman... But relentless hunger to success and perfection always pays.If you still don't believe what this maverick is capable of, watch Toy Story - The perfect Animation movie ever!",4
"First of all thanks Flipkart t for the wonderful services.This book is great source of inspiration. His life, the way he started, the things that made him bold..Reading this book will help you to achieve success even if you had a worse start. So why hesitate. Just Go and order your copy. This is a book that you can give as a gift to your teacher,  brother , sister or friends.Physical properties.Very strong Cover. Clean design just like Apple products.DeliveryNo need to worry.",4
"If I put together a list of books about the various facets of the life of Steve Jobs (notable examples include iWoz about Steve Wozniak, iCon about Apple, The Pixar Story about Pixar, From Pepsi to Apple about John Sculley), this book would still stand out for its comprehensiveness, balanced viewpoint and for being more than the sum of its parts.",4
"Steve Jobs"" by Walter Isaacson is a chronicle of a complex, brash genius who was crazy enough to think he could change the world – and did.",4
"The whole meaning of the above advertisement is so clear now after reading the book,job's hysterical appetite for perfection dazzles and inspires you ,the book keeps the interest on and one keeps on flipping pages after pages awed by the genius and craft of Job's. Nobody's perfect ...but then you have to read through the book to know what makes it ""PERFECT""....",4
"I had chosen to read ""Icon Steve Jobs"" by Young and Simon before this book came out because I had thought that considering the kind of person Steve was it would be better to read an unauthorised biography.",4
"This book is worth reading. Although Steve Jobs was one hell of a manager to deal with, who often thrashed others ideas, fired employees at his will, yet you develop a liking to this guy.He is a true ""iCon"", nevertheless others did copy his keynote style to his devices. Author does add relevant info ahead of timeline to keep reader curious. Nice Job(s)!! !",4
I had pre-ordered my copy and Flipkart was amazing with their response to deliver and also answer all my queries with ease and patience.Very good service by flipkart and the book is just amazing. Less said the better.Thanks Flipkart for making it possible! Delivered just in 2 days of international launch.,4
"Based on all anecdotes, interviews and such things this book is good read, reveling Steve Jobs the man. One should go through other books like apple confidential 2.0, Return to little kingdom and iCon also. Many dimensions of Apple Inc., Steve and other persons  are enclosed but this history could have other chapters also. The book is good to pick but not the last one...",4
Very nice book. It's the hard cover edition. All white. Just like Apple. It also has a 16 page photo paper section containing some pictures. All people who love Apple or Steve Jobs must buy this book.Book was delivered very fast within 2 days.,4
didn't read yet.quality good.took a bit of time for delivery.,4
"The book came in awesome packaging and was promptly delivered.Coming to the book review, it's a lengthy book having around 531 pages to read. It shows how Steve Jobs struggled to build the world's most valuable company. It gives out the detailed explanations and  views of different people to whom Jobs was associated. He was a drop out from his University. But that doesn't deter him from doing what he intends to do. It is a book that shows the true colour of Jobs.",4
Full of motivation,4
The quality of book is good!,4
A nice read and gives insight about initial days of Apple. Love the part where Steve replaced Soda with fruit juices.Also got to know that GUI was NOT stolen from Xerox but was a deal between Apple and Xerox as Xerox management did not believe in GUI/mouse concept.,4
"Steve Jobs has left the message for future generations, through his work and achivements, is that there is something beyond money, power and lust. Even with his death, at just 56, Steve conveyed that no matter how much money you have you can not extend your life by a single day! He taught world that your time is limited, don't waste it in living someone else's life, but, what did he done with himself! He used his best 'limited' time for creating better others life.",4
"The quality of book was not that much better, but as per cost 340 i can say it's okay. Thanks flipkart.",4
Best book for your enhancement of life,4
"Don't be confused by negative comments. Page quality and pic quality is quite enough to read. Just received, so I can't tell you about everything. Service, packing are all as good as the other products.",4
Everything is great except the paper quality. But the content is outstanding.,4
Nice book,4
Just awesome!!! its a good book to read !! !,4
Cover page is a little bit thin,4
A little bit bad condition,4
The book paper quality is very low and is looking like a old book. The pages are yellow in colour like second hand books. But the content and the story telling is really good.,4
Good book but page quality and service is not good.,4
The book has a lot of interesting content.Must read,4
Yellow,4
Recommended,4
Original Copy,4
"Page quality is not that good but the story line of the book is awesome!! If you love to read , or you follow Steve Jobs just give it shot! !",4
Great biography book,4
"I said one sentence, just go & buy it 9/10 ratings. 👍",4
Extraordinary efforts by Steve jobs to change the dinamacy of it industry...,4
The book quality is better The printing quality is best,4
Book is good but paper quality is poor,4
Book version is original and on time delivery,4
It ok good,4
Good enough quality,4
Good Buy !,4
Page quality is not up to Mark,4
Good Book,4
great book. A very good book for entrepreneur and dreamer.,4
nice,4
No bookmark.Why. ?otherwise everything else is fine and packing could have been better.,4
ITS A VERY NICE BOOK. All ups nd downs in steve jobs life is given..,4
good the book is very nice,4
Motivational Book,4
Everything is good.. Just very late delivery! !,4
Good one 👍,4
its worth to buy and read....,4
books packaging and quality is really good.,4
Good,4
"Everything about Steve Jobs is inspiring, brilliant and breathtaking. This book never falls short of creating such moments from time to time. Took me a lot of time to complete the book (500+ pages)but every single page is nothing but awesome. You will get to know the brains, madness and faults of the most amazing marketeer the World has ever seen. Hats off to Walter Isaacson for this!",4
awesome book,4
God of computers,4
it's good,4
good book i mean it is interesting biography of steve jobs by walter isaacson but inconvinent for reading. book text is  small,4
Good,4
this book is highly affective but language is high,4
Must read for aspiring entrepreneurs.Goes through severeal business deals that happened in his life which is great deal in the business history as well as creative history.,4
Very good,4
nice,4
goos,4
Good book.... Paper quality is also good...,4
I got the old book but it's ok,4
Enjoying Reading the book,4
"thoroughly written, whole credit goes to walter for his commitment to introduce the man who changed things.",4
Nice product and I'm happy about flipkart packing but the price is very high,4
Packing was not good.,4
The quality of the book is bad....but 225 Rs is worth for it....i get it with some unglued pages....the cover is not shape 100% but love this book.,4
Narration is very good. Makes it interesting till last page.,4
The paper quality is good. The packing of the book is top notch. The book is one of the best biographies I have till read (and I have red a lot).,4
Timely delivery with nice packaging and a surprise gift! A bookmark From Flipkart,4
Delivery is very fast. Must read book.,4
Good book abd fast delivery. No bookmarks given though🤔,4
The best book for  inspiration,4
Good to read the great human being biography,4
Nice book,4
It is an awesome book . And I received it before the excepted delivery date.,4
Best,4
The book is freaking awesome,4
An interesting write up,4
Gr8,4
Best one.,4
Book was properly​packed and was delivered on time . The book is very good for motivation and inspiration,4
"Just amazing,revealing so much of information abt steve &his methodologies. ....",4
Fabulous book by walter...,4
Nice novel I really like it... Love you Steve...,4
Nice one.,4
Good,4
"Very inspiring book, a must read!",4
Must Read,4
Good book,4
Good,4
Pages are not so good but overall book is awesome just bring it,4
Inspiring,4
Good one,4
Nice product,4
Nice book to read..It is full about Steve jobs and his history,4
Quality of the paper is poor,4
The book was good but the packing i got from Flipkart is below average worst quality packing i got from Flipkart. But no compromise with book the book was awesome and the packing was worst.,4
Good 2 read,4
good,4
Book was nicewas printing error in just 1 pagebut thats something i should not complain aboutand must say thatWalter issacson has done a great job :),4
this is really an asset. Anybody who loves reading books should not miss this book. I recommend this as a must read by anyone,4
Book has a good hard binding and is sturdy and sheds light on the evolution of Apple Inc and covers intricate details of Steve Jobs life. It is a lengthy book but you can resume reading even after a weeks gap.. :),4
"This book was delivered very fast to me within a day and also the book seems very good in terms of quality, hard bind and as reading day by day the way book is written is very good. This also seems inspiring about how Apple was was born and till date and all the happenings in it.",4
"If you are a Jobs and Apple Fan, its inevitable that you'll like this book, it has everything that you would have been waiting to read bout this man. Greatly depicted and illustrated the diverse and eventful life of Jobs...",4
"A must read for those who not just want to know about Jobs but also about the making of Apple, the brains behind it, its business strategies, its quarrels with Microsoft and a lot more. A must read for those who not just want to know about Jobs but also about the making of Apple, the brains behind it, its business strategies, its quarrels with Microsoft and a lot more.",4
